,Opening,Notation
93,"Modern, 3. c3 Other","1.e4 g6 2.d4 Bg7 3. Nc3 c5, a6, d5, Nc6"
94,"Modern, Other 3rd moves","1.e4 g6 2.d4 Bg7 3.c3, f4, Be3, Bc4"
95,"Pirc, Other White 3rd moves","1.e4 d6 2.d4 Nf6 3. Bd3, f3, Nd2"
96,"Pirc, Other Black 3rd moves","1.e4 d6 2.d4 Nf6 3. Nc3 c6, e5, Nbd7"
97,"Pirc, Austrian Attack",1.e4 d6 2.d4 Nf6 3. Nc3 g6 4.f4
98,"Pirc, Other White 4th moves","1.e4 d6 2.d4 Nf6 3. Nc3 g6 4. Be3, Bg5, f3, g3, Be2"
99,"Pirc, Classical",1.e4 d6 2.d4 Nf6 3. Nc3 g6 4. Nf3
100,"Caro-Kann, 2.c4",1.e4 c6 2.c4
101,"Caro-Kann, Two Knights",1.e4 c6 2. Nc3 d5 3. Nf3
102,"Caro-Kann, Exchange",1.e4 c6 2.d4 d5 3.exd5 cxd5 4. Bd3
103,Caro-Kann Panov-Botvinnik Attack,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4
104,"Caro-Kann, Advance",1.e4 c6 2.d4 d5 3.e5
105,"Caro-Kann, 4... f6",1.e4 c6 2.d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6
106,"Caro-Kann, 4... d7",1.e4 c6 2.d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7
107,"Caro-Kann, Classical",1.e4 c6 2.d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5
108,"French, King's Indian Attack",1.e4 e6 2.d3
109,"French, Other 2nd moves","1.e4 e6 2. Nf3, Qe2, Nc3, b3, c4"
110,"French, Exchange",1.e4 e6 2.d4 d5 3.exd5
111,"French, Advance",1.e4 e6 2.d4 d5 3.e5 c5 4.c3
112,"French, Tarrasch Other 3rd moves","1.e4 e6 2.d4 d5 3. Nd2 Nc6, Be7, a6"
113,"French, Tarrasch, 3...c5",1.e4 e6 2.d4 d5 3. Nd2 c5
114,"French, Tarrasch, 3... f6",1.e4 e6 2.d4 d5 3. Nd2 Nf6
115,"French, Rubinstein",1.e4 e6 2.d4 d5 3. Nc3 dxe4 4. Nxe4
116,"French, Winawer Other White 4th moves","1.e4 e6 2.d4 d5 3. Nc3 Bb4 4. Ne2, exd5, Bd3, a3"
117,"French, Winawer Other Black 4th moves","1.e4 e6 2.d4 d5 3. Nc3 Bb4 4.e5 Ne7, b6, Qd7"
118,"French, Winawer, Main Line",1.e4 e6 2.d4 d5 3. Nc3 Bb4 4.e5 c5
119,"French, Steinitz",1.e4 e6 2.d4 d5 3. Nc3 Nf6 4.e5
120,"French, MacCutcheon",1.e4 e6 2.d4 d5 3. Nc3 Nf6 4. Bg5 Bb4
121,"French, Burn",1.e4 e6 2.d4 d5 3. Nc3 Nf6 4. Bg5 dxe4
122,"French, Classical",1.e4 e6 2.d4 d5 3. Nc3 Nf6 4. Bg5 Be7
123,Sicilian Miscellaneous 2nd moves,"1.e4 c5 2.d3, b3, c4, g3, Ne2, Bc4, b4"
124,"Sicilian, 2.f4",1.e4 c5 2.f4
125,"Sicilian, Smith-Morra Gambit",1.e4 c5 2.d4 cxd4 3.c3
126,"Sicilian, Alapin, Other 2nd moves","1.e4 c5 2.c3 e6, d6, g6, e5, b6, Nc6, Qa5"
127,"Sicilian, Alapin, 2... f6",1.e4 c5 2.c3 Nf6
128,"Sicilian, Alapin, 2...d5",1.e4 c5 2.c3 d5
129,"Sicilian, 2. c2 e6",1.e4 c5 2. Nc3 e6
130,"Sicilian, 2. c2 d6",1.e4 c5 2. Nc3 d6
131,"Sicilian, Grand Prix Attack",1.e4 c5 2. Nc3 Nc6 3.f4
132,"Sicilian, Closed Other 3rd moves","1.e4 c5 2. Nc3 Nc6 3. Nf3, Nge2, Bb5"
133,"Sicilian, Closed, Main Line",1.e4 c5 2. Nc3 Nc6 3.g3
134,"Sicilian, 2. f3, Other 2nd moves","1.e4 c5 2. Nf3 g6, a6, Nf6"
135,"Sicilian, Rossolimo",1.e4 c5 2. Nf3 Nc6 3. Bb5
136,"Sicilian, 2... c6 4... c7 and 4... b6","1.e4 c5 2. Nf3 Nc6 3.d4 cxd4 4. Nxd4 Qc7, Qb6"
